Date,MB In,MB Out,MB Total
2013/09/07 20:00,0.00,0.00,0
2013/09/07 20:05,0.00,0.00,0
2013/09/07 20:10,0.00,0.00,0
2013/09/07 20:15,0.00,0.00,0
2013/09/07 20:20,0.00,0.00,0
2013/09/07 20:25,0.00,0.00,0
2013/09/07 20:30,0.00,0.00,0
2013/09/07 20:35,0.00,0.00,0
2013/09/07 20:40,0.00,0.00,0
2013/09/07 20:45,0.00,0.00,0
2013/09/07 20:50,0.00,0.00,0
2013/09/07 20:55,0.00,0.00,0
2013/09/07 21:00,0.00,0.00,0
2013/09/07 21:05,0.00,0.00,0
2013/09/07 21:10,0.00,0.00,0
2013/09/07 21:15,0.00,0.00,0
2013/09/07 21:20,0.00,0.00,0
2013/09/07 21:25,0.00,0.00,0
2013/09/07 21:30,0.00,0.00,0
2013/09/07 21:35,0.00,0.00,0
2013/09/07 21:40,0.00,0.00,0
2013/09/07 21:45,0.00,0.00,0
2013/09/07 21:50,0.00,0.00,0
2013/09/07 21:55,0.00,0.00,0
2013/09/07 22:00,0.00,0.00,0
2013/09/07 22:05,0.00,0.00,0
2013/09/07 22:10,0.00,0.00,0
2013/09/07 22:15,0.00,0.00,0
2013/09/07 22:20,0.00,0.00,0
2013/09/07 22:25,0.00,0.00,0
2013/09/07 22:30,0.00,0.00,0
2013/09/07 22:35,0.00,0.00,0
2013/09/07 22:40,0.00,0.00,0
2013/09/07 22:45,0.00,0.00,0
2013/09/07 22:50,0.00,0.00,0
